,Survived,Age,Fare,FamilyCount,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_Cherbourg,Embarked_Queenstown,Embarked_Southampton
0,0,22.0,7.25,1,0,0,1,0,1,0,0,1
1,1,38.0,71.2833,1,1,0,0,1,0,1,0,0
2,1,26.0,7.925,0,0,0,1,1,0,0,0,1
3,1,35.0,53.1,1,1,0,0,1,0,0,0,1
4,0,35.0,8.05,0,0,0,1,0,1,0,0,1
6,0,54.0,51.8625,0,1,0,0,0,1,0,0,1
7,0,2.0,21.075,4,0,0,1,0,1,0,0,1
8,1,27.0,11.1333,2,0,0,1,1,0,0,0,1
9,1,14.0,30.0708,1,0,1,0,1,0,1,0,0
10,1,4.0,16.7,2,0,0,1,1,0,0,0,1
11,1,58.0,26.55,0,1,0,0,1,0,0,0,1
12,0,20.0,8.05,0,0,0,1,0,1,0,0,1
13,0,39.0,31.275,6,0,0,1,0,1,0,0,1
14,0,14.0,7.8542,0,0,0,1,1,0,0,0,1
15,1,55.0,16.0,0,0,1,0,1,0,0,0,1
16,0,2.0,29.125,5,0,0,1,0,1,0,1,0
18,0,31.0,18.0,1,0,0,1,1,0,0,0,1
20,0,35.0,26.0,0,0,1,0,0,1,0,0,1
21,1,34.0,13.0,0,0,1,0,0,1,0,0,1
22,1,15.0,8.0292,0,0,0,1,1,0,0,1,0
23,1,28.0,35.5,0,1,0,0,0,1,0,0,1
24,0,8.0,21.075,4,0,0,1,1,0,0,0,1
25,1,38.0,31.3875,6,0,0,1,1,0,0,0,1
27,0,19.0,263.0,5,1,0,0,0,1,0,0,1
30,0,40.0,27.7208,0,1,0,0,0,1,1,0,0
33,0,66.0,10.5,0,0,1,0,0,1,0,0,1
34,0,28.0,82.1708,1,1,0,0,0,1,1,0,0
35,0,42.0,52.0,1,1,0,0,0,1,0,0,1
37,0,21.0,8.05,0,0,0,1,0,1,0,0,1
38,0,18.0,18.0,2,0,0,1,1,0,0,0,1
39,1,14.0,11.2417,1,0,0,1,1,0,1,0,0
40,0,40.0,9.475,1,0,0,1,1,0,0,0,1
41,0,27.0,21.0,1,0,1,0,1,0,0,0,1
43,1,3.0,41.5792,3,0,1,0,1,0,1,0,0
44,1,19.0,7.8792,0,0,0,1,1,0,0,1,0
49,0,18.0,17.8,1,0,0,1,1,0,0,0,1
50,0,7.0,39.6875,5,0,0,1,0,1,0,0,1
51,0,21.0,7.8,0,0,0,1,0,1,0,0,1
52,1,49.0,76.7292,1,1,0,0,1,0,1,0,0
53,1,29.0,26.0,1,0,1,0,1,0,0,0,1
54,0,65.0,61.9792,1,1,0,0,0,1,1,0,0
56,1,21.0,10.5,0,0,1,0,1,0,0,0,1
57,0,28.5,7.2292,0,0,0,1,0,1,1,0,0
58,1,5.0,27.75,3,0,1,0,1,0,0,0,1
59,0,11.0,46.9,7,0,0,1,0,1,0,0,1
60,0,22.0,7.2292,0,0,0,1,0,1,1,0,0
62,0,45.0,83.475,1,1,0,0,0,1,0,0,1
63,0,4.0,27.9,5,0,0,1,0,1,0,0,1
66,1,29.0,10.5,0,0,1,0,1,0,0,0,1
67,0,19.0,8.1583,0,0,0,1,0,1,0,0,1
68,1,17.0,7.925,6,0,0,1,1,0,0,0,1
69,0,26.0,8.6625,2,0,0,1,0,1,0,0,1
70,0,32.0,10.5,0,0,1,0,0,1,0,0,1
71,0,16.0,46.9,7,0,0,1,1,0,0,0,1
72,0,21.0,73.5,0,0,1,0,0,1,0,0,1
73,0,26.0,14.4542,1,0,0,1,0,1,1,0,0
74,1,32.0,56.4958,0,0,0,1,0,1,0,0,1
75,0,25.0,7.65,0,0,0,1,0,1,0,0,1
78,1,0.83,29.0,2,0,1,0,0,1,0,0,1
79,1,30.0,12.475,0,0,0,1,1,0,0,0,1
80,0,22.0,9.0,0,0,0,1,0,1,0,0,1
81,1,29.0,9.5,0,0,0,1,0,1,0,0,1
83,0,28.0,47.1,0,1,0,0,0,1,0,0,1
84,1,17.0,10.5,0,0,1,0,1,0,0,0,1
85,1,33.0,15.85,3,0,0,1,1,0,0,0,1
86,0,16.0,34.375,4,0,0,1,0,1,0,0,1
88,1,23.0,263.0,5,1,0,0,1,0,0,0,1
89,0,24.0,8.05,0,0,0,1,0,1,0,0,1
90,0,29.0,8.05,0,0,0,1,0,1,0,0,1
91,0,20.0,7.8542,0,0,0,1,0,1,0,0,1
92,0,46.0,61.175,1,1,0,0,0,1,0,0,1
93,0,26.0,20.575,3,0,0,1,0,1,0,0,1
94,0,59.0,7.25,0,0,0,1,0,1,0,0,1
96,0,71.0,34.6542,0,1,0,0,0,1,1,0,0
97,1,23.0,63.3583,1,1,0,0,0,1,1,0,0
98,1,34.0,23.0,1,0,1,0,1,0,0,0,1
99,0,34.0,26.0,1,0,1,0,0,1,0,0,1
100,0,28.0,7.8958,0,0,0,1,1,0,0,0,1
102,0,21.0,77.2875,1,1,0,0,0,1,0,0,1
103,0,33.0,8.6542,0,0,0,1,0,1,0,0,1
104,0,37.0,7.925,2,0,0,1,0,1,0,0,1
105,0,28.0,7.8958,0,0,0,1,0,1,0,0,1
106,1,21.0,7.65,0,0,0,1,1,0,0,0,1
108,0,38.0,7.8958,0,0,0,1,0,1,0,0,1
110,0,47.0,52.0,0,1,0,0,0,1,0,0,1
111,0,14.5,14.4542,1,0,0,1,1,0,1,0,0
112,0,22.0,8.05,0,0,0,1,0,1,0,0,1
113,0,20.0,9.825,1,0,0,1,1,0,0,0,1
114,0,17.0,14.4583,0,0,0,1,1,0,1,0,0
115,0,21.0,7.925,0,0,0,1,0,1,0,0,1
116,0,70.5,7.75,0,0,0,1,0,1,0,1,0
117,0,29.0,21.0,1,0,1,0,0,1,0,0,1
118,0,24.0,247.5208,1,1,0,0,0,1,1,0,0
119,0,2.0,31.275,6,0,0,1,1,0,0,0,1
120,0,21.0,73.5,2,0,1,0,0,1,0,0,1
122,0,32.5,30.0708,1,0,1,0,0,1,1,0,0
123,1,32.5,13.0,0,0,1,0,1,0,0,0,1
124,0,54.0,77.2875,1,1,0,0,0,1,0,0,1
125,1,12.0,11.2417,1,0,0,1,0,1,1,0,0
127,1,24.0,7.1417,0,0,0,1,0,1,0,0,1
129,0,45.0,6.975,0,0,0,1,0,1,0,0,1
130,0,33.0,7.8958,0,0,0,1,0,1,1,0,0
131,0,20.0,7.05,0,0,0,1,0,1,0,0,1
132,0,47.0,14.5,1,0,0,1,1,0,0,0,1
133,1,29.0,26.0,1,0,1,0,1,0,0,0,1
134,0,25.0,13.0,0,0,1,0,0,1,0,0,1
135,0,23.0,15.0458,0,0,1,0,0,1,1,0,0
136,1,19.0,26.2833,2,1,0,0,1,0,0,0,1
137,0,37.0,53.1,1,1,0,0,0,1,0,0,1
138,0,16.0,9.2167,0,0,0,1,0,1,0,0,1
139,0,24.0,79.2,0,1,0,0,0,1,1,0,0
141,1,22.0,7.75,0,0,0,1,1,0,0,0,1
142,1,24.0,15.85,1,0,0,1,1,0,0,0,1
143,0,19.0,6.75,0,0,0,1,0,1,0,1,0
144,0,18.0,11.5,0,0,1,0,0,1,0,0,1
145,0,19.0,36.75,2,0,1,0,0,1,0,0,1
146,1,27.0,7.7958,0,0,0,1,0,1,0,0,1
147,0,9.0,34.375,4,0,0,1,1,0,0,0,1
148,0,36.5,26.0,2,0,1,0,0,1,0,0,1
149,0,42.0,13.0,0,0,1,0,0,1,0,0,1
150,0,51.0,12.525,0,0,1,0,0,1,0,0,1
151,1,22.0,66.6,1,1,0,0,1,0,0,0,1
152,0,55.5,8.05,0,0,0,1,0,1,0,0,1
153,0,40.5,14.5,2,0,0,1,0,1,0,0,1
155,0,51.0,61.3792,1,1,0,0,0,1,1,0,0
156,1,16.0,7.7333,0,0,0,1,1,0,0,1,0
157,0,30.0,8.05,0,0,0,1,0,1,0,0,1
160,0,44.0,16.1,1,0,0,1,0,1,0,0,1
161,1,40.0,15.75,0,0,1,0,1,0,0,0,1
162,0,26.0,7.775,0,0,0,1,0,1,0,0,1
163,0,17.0,8.6625,0,0,0,1,0,1,0,0,1
164,0,1.0,39.6875,5,0,0,1,0,1,0,0,1
165,1,9.0,20.525,2,0,0,1,0,1,0,0,1
167,0,45.0,27.9,5,0,0,1,1,0,0,0,1
169,0,28.0,56.4958,0,0,0,1,0,1,0,0,1
170,0,61.0,33.5,0,1,0,0,0,1,0,0,1
171,0,4.0,29.125,5,0,0,1,0,1,0,1,0
172,1,1.0,11.1333,2,0,0,1,1,0,0,0,1
173,0,21.0,7.925,0,0,0,1,0,1,0,0,1
174,0,56.0,30.6958,0,1,0,0,0,1,1,0,0
175,0,18.0,7.8542,2,0,0,1,0,1,0,0,1
177,0,50.0,28.7125,0,1,0,0,1,0,1,0,0
178,0,30.0,13.0,0,0,1,0,0,1,0,0,1
179,0,36.0,0.0,0,0,0,1,0,1,0,0,1
182,0,9.0,31.3875,6,0,0,1,0,1,0,0,1
183,1,1.0,39.0,3,0,1,0,0,1,0,0,1
184,1,4.0,22.025,2,0,0,1,1,0,0,0,1
187,1,45.0,26.55,0,1,0,0,0,1,0,0,1
188,0,40.0,15.5,2,0,0,1,0,1,0,1,0
189,0,36.0,7.8958,0,0,0,1,0,1,0,0,1
190,1,32.0,13.0,0,0,1,0,1,0,0,0,1
191,0,19.0,13.0,0,0,1,0,0,1,0,0,1
192,1,19.0,7.8542,1,0,0,1,1,0,0,0,1
193,1,3.0,26.0,2,0,1,0,0,1,0,0,1
194,1,44.0,27.7208,0,1,0,0,1,0,1,0,0
195,1,58.0,146.5208,0,1,0,0,1,0,1,0,0
197,0,42.0,8.4042,1,0,0,1,0,1,0,0,1
199,0,24.0,13.0,0,0,1,0,1,0,0,0,1
200,0,28.0,9.5,0,0,0,1,0,1,0,0,1
202,0,34.0,6.4958,0,0,0,1,0,1,0,0,1
203,0,45.5,7.225,0,0,0,1,0,1,1,0,0
204,1,18.0,8.05,0,0,0,1,0,1,0,0,1
205,0,2.0,10.4625,1,0,0,1,1,0,0,0,1
206,0,32.0,15.85,1,0,0,1,0,1,0,0,1
207,1,26.0,18.7875,0,0,0,1,0,1,1,0,0
208,1,16.0,7.75,0,0,0,1,1,0,0,1,0
209,1,40.0,31.0,0,1,0,0,0,1,1,0,0
210,0,24.0,7.05,0,0,0,1,0,1,0,0,1
211,1,35.0,21.0,0,0,1,0,1,0,0,0,1
212,0,22.0,7.25,0,0,0,1,0,1,0,0,1
213,0,30.0,13.0,0,0,1,0,0,1,0,0,1
215,1,31.0,113.275,1,1,0,0,1,0,1,0,0
216,1,27.0,7.925,0,0,0,1,1,0,0,0,1
217,0,42.0,27.0,1,0,1,0,0,1,0,0,1
218,1,32.0,76.2917,0,1,0,0,1,0,1,0,0
219,0,30.0,10.5,0,0,1,0,0,1,0,0,1
220,1,16.0,8.05,0,0,0,1,0,1,0,0,1
221,0,27.0,13.0,0,0,1,0,0,1,0,0,1
222,0,51.0,8.05,0,0,0,1,0,1,0,0,1
224,1,38.0,90.0,1,1,0,0,0,1,0,0,1
225,0,22.0,9.35,0,0,0,1,0,1,0,0,1
226,1,19.0,10.5,0,0,1,0,0,1,0,0,1
227,0,20.5,7.25,0,0,0,1,0,1,0,0,1
228,0,18.0,13.0,0,0,1,0,0,1,0,0,1
230,1,35.0,83.475,1,1,0,0,1,0,0,0,1
231,0,29.0,7.775,0,0,0,1,0,1,0,0,1
232,0,59.0,13.5,0,0,1,0,0,1,0,0,1
233,1,5.0,31.3875,6,0,0,1,1,0,0,0,1
234,0,24.0,10.5,0,0,1,0,0,1,0,0,1
236,0,44.0,26.0,1,0,1,0,0,1,0,0,1
237,1,8.0,26.25,2,0,1,0,1,0,0,0,1
238,0,19.0,10.5,0,0,1,0,0,1,0,0,1
239,0,33.0,12.275,0,0,1,0,0,1,0,0,1
242,0,29.0,10.5,0,0,1,0,0,1,0,0,1
243,0,22.0,7.125,0,0,0,1,0,1,0,0,1
244,0,30.0,7.225,0,0,0,1,0,1,1,0,0
245,0,44.0,90.0,2,1,0,0,0,1,0,1,0
246,0,25.0,7.775,0,0,0,1,1,0,0,0,1
247,1,24.0,14.5,2,0,1,0,1,0,0,0,1
248,1,37.0,52.5542,2,1,0,0,0,1,0,0,1
249,0,54.0,26.0,1,0,1,0,0,1,0,0,1
251,0,29.0,10.4625,2,0,0,1,1,0,0,0,1
252,0,62.0,26.55,0,1,0,0,0,1,0,0,1
253,0,30.0,16.1,1,0,0,1,0,1,0,0,1
254,0,41.0,20.2125,2,0,0,1,1,0,0,0,1
255,1,29.0,15.2458,2,0,0,1,1,0,1,0,0
257,1,30.0,86.5,0,1,0,0,1,0,0,0,1
258,1,35.0,512.3292,0,1,0,0,1,0,1,0,0
259,1,50.0,26.0,1,0,1,0,1,0,0,0,1
261,1,3.0,31.3875,6,0,0,1,0,1,0,0,1
262,0,52.0,79.65,2,1,0,0,0,1,0,0,1
263,0,40.0,0.0,0,1,0,0,0,1,0,0,1
265,0,36.0,10.5,0,0,1,0,0,1,0,0,1
266,0,16.0,39.6875,5,0,0,1,0,1,0,0,1
267,1,25.0,7.775,1,0,0,1,0,1,0,0,1
268,1,58.0,153.4625,1,1,0,0,1,0,0,0,1
269,1,35.0,135.6333,0,1,0,0,1,0,0,0,1
271,1,25.0,0.0,0,0,0,1,0,1,0,0,1
272,1,41.0,19.5,1,0,1,0,1,0,0,0,1
273,0,37.0,29.7,1,1,0,0,0,1,1,0,0
275,1,63.0,77.9583,1,1,0,0,1,0,0,0,1
276,0,45.0,7.75,0,0,0,1,1,0,0,0,1
278,0,7.0,29.125,5,0,0,1,0,1,0,1,0
279,1,35.0,20.25,2,0,0,1,1,0,0,0,1
280,0,65.0,7.75,0,0,0,1,0,1,0,1,0
281,0,28.0,7.8542,0,0,0,1,0,1,0,0,1
282,0,16.0,9.5,0,0,0,1,0,1,0,0,1
283,1,19.0,8.05,0,0,0,1,0,1,0,0,1
285,0,33.0,8.6625,0,0,0,1,0,1,1,0,0
286,1,30.0,9.5,0,0,0,1,0,1,0,0,1
287,0,22.0,7.8958,0,0,0,1,0,1,0,0,1
288,1,42.0,13.0,0,0,1,0,0,1,0,0,1
289,1,22.0,7.75,0,0,0,1,1,0,0,1,0
290,1,26.0,78.85,0,1,0,0,1,0,0,0,1
291,1,19.0,91.0792,1,1,0,0,1,0,1,0,0
292,0,36.0,12.875,0,0,1,0,0,1,1,0,0
293,0,24.0,8.85,0,0,0,1,1,0,0,0,1
294,0,24.0,7.8958,0,0,0,1,0,1,0,0,1
296,0,23.5,7.2292,0,0,0,1,0,1,1,0,0
297,0,2.0,151.55,3,1,0,0,1,0,0,0,1
299,1,50.0,247.5208,1,1,0,0,1,0,1,0,0
302,0,19.0,0.0,0,0,0,1,0,1,0,0,1
305,1,0.92,151.55,3,1,0,0,0,1,0,0,1
307,1,17.0,108.9,1,1,0,0,1,0,1,0,0
308,0,30.0,24.0,1,0,1,0,0,1,1,0,0
309,1,30.0,56.9292,0,1,0,0,1,0,1,0,0
310,1,24.0,83.1583,0,1,0,0,1,0,1,0,0
311,1,18.0,262.375,4,1,0,0,1,0,1,0,0
312,0,26.0,26.0,2,0,1,0,1,0,0,0,1
313,0,28.0,7.8958,0,0,0,1,0,1,0,0,1
314,0,43.0,26.25,2,0,1,0,0,1,0,0,1
315,1,26.0,7.8542,0,0,0,1,1,0,0,0,1
316,1,24.0,26.0,1,0,1,0,1,0,0,0,1
317,0,54.0,14.0,0,0,1,0,0,1,0,0,1
318,1,31.0,164.8667,2,1,0,0,1,0,0,0,1
319,1,40.0,134.5,2,1,0,0,1,0,1,0,0
320,0,22.0,7.25,0,0,0,1,0,1,0,0,1
321,0,27.0,7.8958,0,0,0,1,0,1,0,0,1
322,1,30.0,12.35,0,0,1,0,1,0,0,1,0
323,1,22.0,29.0,2,0,1,0,1,0,0,0,1
325,1,36.0,135.6333,0,1,0,0,1,0,1,0,0
326,0,61.0,6.2375,0,0,0,1,0,1,0,0,1
327,1,36.0,13.0,0,0,1,0,1,0,0,0,1
328,1,31.0,20.525,2,0,0,1,1,0,0,0,1
329,1,16.0,57.9792,1,1,0,0,1,0,1,0,0
331,0,45.5,28.5,0,1,0,0,0,1,0,0,1
332,0,38.0,153.4625,1,1,0,0,0,1,0,0,1
333,0,16.0,18.0,2,0,0,1,0,1,0,0,1
336,0,29.0,66.6,1,1,0,0,0,1,0,0,1
337,1,41.0,134.5,0,1,0,0,1,0,1,0,0
338,1,45.0,8.05,0,0,0,1,0,1,0,0,1
339,0,45.0,35.5,0,1,0,0,0,1,0,0,1
340,1,2.0,26.0,2,0,1,0,0,1,0,0,1
341,1,24.0,263.0,5,1,0,0,1,0,0,0,1
342,0,28.0,13.0,0,0,1,0,0,1,0,0,1
343,0,25.0,13.0,0,0,1,0,0,1,0,0,1
344,0,36.0,13.0,0,0,1,0,0,1,0,0,1
345,1,24.0,13.0,0,0,1,0,1,0,0,0,1
346,1,40.0,13.0,0,0,1,0,1,0,0,0,1
348,1,3.0,15.9,2,0,0,1,0,1,0,0,1
349,0,42.0,8.6625,0,0,0,1,0,1,0,0,1
350,0,23.0,9.225,0,0,0,1,0,1,0,0,1
352,0,15.0,7.2292,2,0,0,1,0,1,1,0,0
353,0,25.0,17.8,1,0,0,1,0,1,0,0,1
355,0,28.0,9.5,0,0,0,1,0,1,0,0,1
356,1,22.0,55.0,1,1,0,0,1,0,0,0,1
357,0,38.0,13.0,0,0,1,0,1,0,0,0,1
360,0,40.0,27.9,5,0,0,1,0,1,0,0,1
361,0,29.0,27.7208,1,0,1,0,0,1,1,0,0
362,0,45.0,14.4542,1,0,0,1,1,0,1,0,0
363,0,35.0,7.05,0,0,0,1,0,1,0,0,1
365,0,30.0,7.25,0,0,0,1,0,1,0,0,1
366,1,60.0,75.25,1,1,0,0,1,0,1,0,0
369,1,24.0,69.3,0,1,0,0,1,0,1,0,0
370,1,25.0,55.4417,1,1,0,0,0,1,1,0,0
371,0,18.0,6.4958,1,0,0,1,0,1,0,0,1
372,0,19.0,8.05,0,0,0,1,0,1,0,0,1
373,0,22.0,135.6333,0,1,0,0,0,1,1,0,0
374,0,3.0,21.075,4,0,0,1,1,0,0,0,1
376,1,22.0,7.25,0,0,0,1,1,0,0,0,1
377,0,27.0,211.5,2,1,0,0,0,1,1,0,0
378,0,20.0,4.0125,0,0,0,1,0,1,1,0,0
379,0,19.0,7.775,0,0,0,1,0,1,0,0,1
380,1,42.0,227.525,0,1,0,0,1,0,1,0,0
381,1,1.0,15.7417,2,0,0,1,1,0,1,0,0
382,0,32.0,7.925,0,0,0,1,0,1,0,0,1
383,1,35.0,52.0,1,1,0,0,1,0,0,0,1
385,0,18.0,73.5,0,0,1,0,0,1,0,0,1
386,0,1.0,46.9,7,0,0,1,0,1,0,0,1
387,1,36.0,13.0,0,0,1,0,1,0,0,0,1
389,1,17.0,12.0,0,0,1,0,1,0,1,0,0
390,1,36.0,120.0,3,1,0,0,0,1,0,0,1
391,1,21.0,7.7958,0,0,0,1,0,1,0,0,1
392,0,28.0,7.925,2,0,0,1,0,1,0,0,1
393,1,23.0,113.275,1,1,0,0,1,0,1,0,0
394,1,24.0,16.7,2,0,0,1,1,0,0,0,1
395,0,22.0,7.7958,0,0,0,1,0,1,0,0,1
396,0,31.0,7.8542,0,0,0,1,1,0,0,0,1
397,0,46.0,26.0,0,0,1,0,0,1,0,0,1
398,0,23.0,10.5,0,0,1,0,0,1,0,0,1
399,1,28.0,12.65,0,0,1,0,1,0,0,0,1
400,1,39.0,7.925,0,0,0,1,0,1,0,0,1
401,0,26.0,8.05,0,0,0,1,0,1,0,0,1
402,0,21.0,9.825,1,0,0,1,1,0,0,0,1
403,0,28.0,15.85,1,0,0,1,0,1,0,0,1
404,0,20.0,8.6625,0,0,0,1,1,0,0,0,1
405,0,34.0,21.0,1,0,1,0,0,1,0,0,1
406,0,51.0,7.75,0,0,0,1,0,1,0,0,1
407,1,3.0,18.75,2,0,1,0,0,1,0,0,1
408,0,21.0,7.775,0,0,0,1,0,1,0,0,1
412,1,33.0,90.0,1,1,0,0,1,0,0,1,0
414,1,44.0,7.925,0,0,0,1,0,1,0,0,1
416,1,34.0,32.5,2,0,1,0,1,0,0,0,1
417,1,18.0,13.0,2,0,1,0,1,0,0,0,1
418,0,30.0,13.0,0,0,1,0,0,1,0,0,1
419,0,10.0,24.15,2,0,0,1,1,0,0,0,1
421,0,21.0,7.7333,0,0,0,1,0,1,0,1,0
422,0,29.0,7.875,0,0,0,1,0,1,0,0,1
423,0,28.0,14.4,2,0,0,1,1,0,0,0,1
424,0,18.0,20.2125,2,0,0,1,0,1,0,0,1
426,1,28.0,26.0,1,0,1,0,1,0,0,0,1
427,1,19.0,26.0,0,0,1,0,1,0,0,0,1
429,1,32.0,8.05,0,0,0,1,0,1,0,0,1
430,1,28.0,26.55,0,1,0,0,0,1,0,0,1
432,1,42.0,26.0,1,0,1,0,1,0,0,0,1
433,0,17.0,7.125,0,0,0,1,0,1,0,0,1
434,0,50.0,55.9,1,1,0,0,0,1,0,0,1
435,1,14.0,120.0,3,1,0,0,1,0,0,0,1
436,0,21.0,34.375,4,0,0,1,1,0,0,0,1
437,1,24.0,18.75,5,0,1,0,1,0,0,0,1
438,0,64.0,263.0,5,1,0,0,0,1,0,0,1
439,0,31.0,10.5,0,0,1,0,0,1,0,0,1
440,1,45.0,26.25,2,0,1,0,1,0,0,0,1
441,0,20.0,9.5,0,0,0,1,0,1,0,0,1
442,0,25.0,7.775,1,0,0,1,0,1,0,0,1
443,1,28.0,13.0,0,0,1,0,1,0,0,0,1
445,1,4.0,81.8583,2,1,0,0,0,1,0,0,1
446,1,13.0,19.5,1,0,1,0,1,0,0,0,1
447,1,34.0,26.55,0,1,0,0,0,1,0,0,1
448,1,5.0,19.2583,3,0,0,1,1,0,1,0,0
449,1,52.0,30.5,0,1,0,0,0,1,0,0,1
450,0,36.0,27.75,3,0,1,0,0,1,0,0,1
452,0,30.0,27.75,0,1,0,0,0,1,1,0,0
453,1,49.0,89.1042,1,1,0,0,0,1,1,0,0
455,1,29.0,7.8958,0,0,0,1,0,1,1,0,0
456,0,65.0,26.55,0,1,0,0,0,1,0,0,1
458,1,50.0,10.5,0,0,1,0,1,0,0,0,1
460,1,48.0,26.55,0,1,0,0,0,1,0,0,1
461,0,34.0,8.05,0,0,0,1,0,1,0,0,1
462,0,47.0,38.5,0,1,0,0,0,1,0,0,1
463,0,48.0,13.0,0,0,1,0,0,1,0,0,1
465,0,38.0,7.05,0,0,0,1,0,1,0,0,1
467,0,56.0,26.55,0,1,0,0,0,1,0,0,1
469,1,0.75,19.2583,3,0,0,1,1,0,1,0,0
471,0,38.0,8.6625,0,0,0,1,0,1,0,0,1
472,1,33.0,27.75,3,0,1,0,1,0,0,0,1
473,1,23.0,13.7917,0,0,1,0,1,0,1,0,0
474,0,22.0,9.8375,0,0,0,1,1,0,0,0,1
476,0,34.0,21.0,1,0,1,0,0,1,0,0,1
477,0,29.0,7.0458,1,0,0,1,0,1,0,0,1
478,0,22.0,7.5208,0,0,0,1,0,1,0,0,1
479,1,2.0,12.2875,1,0,0,1,1,0,0,0,1
480,0,9.0,46.9,7,0,0,1,0,1,0,0,1
482,0,50.0,8.05,0,0,0,1,0,1,0,0,1
483,1,63.0,9.5875,0,0,0,1,1,0,0,0,1
